Aberdeen City-South Dakota,"(45.4646985, -98.4864829)"
Green Lake City-Wisconsin,"(43.84414810000001, -88.96011329999999)"
Green Lake SD,"(44.1205649, -96.9430555)"
Greenburgh Town-New York,"(41.0466768, -73.7895271)"
Greene Co-Indiana,"(39.0321796, -86.9824288)"
Greene Co-Ohio,"(39.697399, -83.8897057)"
Greensboro City-North Carolina,"(36.0726354, -79.7919754)"
"Greenville Cnty,South Carolina","(34.9297484, -82.34518899999999)"
Greenwood City-Indiana,"(39.6136578, -86.10665259999999)"
Gregory City-South Dakota,"(43.2322227, -99.4303833)"
Gresham City-Oregon,"(45.5001357, -122.4302013)"
Gresham-Barlow SD #10JT,"(45.5063007, -122.4302259)"
Grinnell City-Iowa,"(41.74340919999999, -92.7232456)"
Groton City-Connecticut,"(41.3497456, -72.0790717)"
Groton Town-Connecticut,"(41.3497456, -72.0790717)"
Grundy Co (Braceville) SD #75,"(41.22697650000001, -88.26478329999999)"
Grundy Co (Gardner) SD #72-C,"(41.1936433, -88.30644980000001)"
Grundy Co (Minooka) CHSD #111,"(41.4571943, -88.2714809)"
Grundy Co (Morris) CHSD #101,"(41.3567176, -88.4282947)"
Grundy Co-Illinois,"(41.3500531, -88.4016041)"
Guadalupe Co (Seguin) ISD,"(29.5680966, -97.9619365)"
Guadalupe-Blanco River Auth,"(28.7140197, -97.17573499999999)"
Guam Waterworks Authority,"(13.4624845, 144.6873286)"
Guin City-Alabama,"(33.9656594, -87.91474939999999)"
Gulf Shores,"(30.2460361, -87.70081929999999)"
Hackensack City-New Jersey,"(40.8859325, -74.0434736)"
Hall Co Airport Authority,"(40.97025, -98.3182997)"
Hamden Town-Connecticut,"(41.3838782, -72.9026064)"
Hamilton City-Alabama,"(34.1423235, -87.98864379999999)"
Hamilton Co Pub Bldg Corp,"(40.3671955, -107.6131216)"
Hamilton Co-Ohio,"(39.2355447, -84.56414699999999)"
Hamilton Twp-New Jersey,"(40.2115109, -74.6796651)"
"Hampton, Virginia","(37.0298687, -76.34522179999999)"
Harbor Beach City-Michigan,"(43.8447369, -82.6513186)"
Hardin Co-Kentucky,"(37.6565708, -86.0121573)"
Harlingen CISD Pub Facs Corp,"(53.1746381, 5.4251517)"
Harnett Co-North Carolina,"(35.35786480000001, -78.8835548)"
Harris Co (Galena Park) ISD,"(29.811231, -95.17470399999999)"
Harris Co Flood Control Dt,"(29.8054784, -95.4524589)"
Harris Co-Houston Sports Auth,"(29.7547106, -95.3623889)"
Harris Co-Texas,"(29.7751825, -95.3102505)"
Hartford Stadium Authority,"(41.76371109999999, -72.6850932)"
Haverstraw Village-New York,"(41.1975947, -73.96458369999999)"
Hawaii,"(19.8967662, -155.5827818)"
Hawaii Dept of Bus Econ Dev &,"(19.8967662, -155.5827818)"
Hawaii Housing Fin & Dev Corp,"(19.8967662, -155.5827818)"
Hawkeye Community College,"(42.4905962, -92.4523286)"
Hays CISD,"(30.0151113, -97.8382659)"
Henderson City-Nevada,"(36.0395247, -114.9817213)"
Hennepin Co (Minneapolis) SSD,"(45.0208911, -93.5094574)"
Henry Co (Alwood) CUSD #225,"(37.3983394, -105.9069667)"
Henry Co (Annawan) CUSD #226,"(37.3983394, -105.9069667)"
Henry Co (Clinton) SD #124,"(38.3649676, -93.7651885)"
Hibbing City-Minnesota,"(47.42715459999999, -92.9376887)"
Hidalgo Co (La Joya) ISD,"(26.2993559, -98.3891273)"
Hidalgo Co (McAllen) ISD,"(26.260342, -98.267265)"
Hidalgo Co-Texas,"(26.4656319, -98.2212979)"
Highland Comm College Dt #519,"(38.8239385, -77.0031059)"
Hildalgo Co (Edcouch-Elsa) ISD,"(26.2941713, -97.9735973)"
Hillsboro Oregon,"(45.5228939, -122.989827)"
Hillsdale Co-Michigan,"(41.8685961, -84.5222189)"
Hilton Head Public Svc Dt #1,"(32.216316, -80.752608)"
Hinesville City-Georgia,"(31.846877, -81.5959453)"
"Hobart Village, Wisconsin","(44.48828959999999, -88.1584129)"
Hoke Co-North Carolina,"(35.0432488, -79.24511489999999)"
Holland Economic Dev Corp,"(29.9497027, -96.2582913)"
Holliston Town-Massachusetts,"(42.20009659999999, -71.4245049)"
Hollywood Beach Comm Dev Dt #1,"(34.0928092, -118.3286614)"
Holton-Kansas,"(39.4652724, -95.7363723)"
Honolulu City & Co-Hawaii,"(21.3443979, -157.8703991)"
Hoover City-Alabama,"(33.4053867, -86.8113781)"
Houston City-Texas,"(29.7604267, -95.3698028)"
Houston Co-Alabama,"(31.1318686, -85.31362179999999)"
Howard Co Housing Commission,"(38.4484137, -105.8363368)"
Howard County-Maryland,"(39.2873463, -76.964306)"
Howard Village-Wisconsin,"(44.5623531, -88.08030509999999)"
Hubbard Co-Minnesota,"(47.1860527, -94.94114230000001)"
Huber Heights City-Ohio,"(39.843947, -84.12466080000002)"
Hudson City School District,"(41.2563635, -81.4125135)"
Hudson Co-New Jersey,"(40.7453199, -74.05351259999999)"
Hudson County Improvement Auth,"(40.72777689999999, -74.0667589)"
Hudson-Iowa,"(42.406653, -92.45546709999999)"
Hughes Co (Pierre) SD #32-2,"(44.3551152, -100.3723433)"
Hugoton City-Kansas,"(37.1753025, -101.3496025)"
Hutchinson City-Kansas,"(38.0608445, -97.92977429999999)"
Idaho State Building Authority,"(43.613566, -116.2046321)"
Illinois,"(40.6331249, -89.3985283)"
Illinois Finance Authority,"(40.6331249, -89.3985283)"
Illinois Housing Development,"(41.8895496, -87.6229604)"
Independence City-Kansas,"(37.2242358, -95.7083131)"
Indiana Co Municipal Svcs Auth,"(40.2671941, -86.1349019)"
Indiana Housing Comm Dev Auth,"(39.7661337, -86.15850259999999)"
Industry City-California,"(34.0197335, -117.9586754)"
Iowa City-Iowa,"(41.6611277, -91.5301683)"
Iowa Finance Authority,"(41.5849941, -93.6442866)"
Iowa State Board of Regents,"(41.637022, -93.7726994)"
Iowa Student Loan Liquidity,"(41.8780025, -93.097702)"
Iowa Valley Com College Dt,"(41.8780025, -93.097702)"
Iredell Co-North Carolina,"(35.8310501, -80.89865019999999)"
Irondale City-Alabama,"(33.5381601, -86.70721019999999)"
Irvine Ranch Wtr Dist Jt Pwrs,"(33.6839473, -117.7946942)"
Irving City-Texas,"(32.8140177, -96.9488945)"
Irving Independent School Dist,"(32.86763320000001, -96.9625686)"
Irvington Twp-New Jersey,"(40.7263249, -74.22864349999999)"
Islandia-New York,"(40.8042649, -73.1690019)"
"Isle of Wight County,Virginia","(36.9288915, -76.6874701)"
Itawamba Co-Mississippi,"(34.2317882, -88.4016041)"
Ithaca City-New York,"(42.4439614, -76.5018807)"
Jackson CSD,"(37.6725503, -89.17230339999999)"
Jackson Cnty Sch Dist No 58,"(38.96848490000001, -94.5799933)"
Jackson Co (Carbondale) SD #95,"(37.7182719, -89.19831359999999)"
Jackson Co (Central Pt) SD #6,"(42.371925, -122.9120779)"
Jackson Co Industrial Dev Auth,"(40.6819242, -106.2522143)"
Jackson Co-Mississippi,"(30.4278212, -88.55653099999999)"
Jackson Village-Wisconsin,"(43.3238919, -88.1667599)"
Jacksonville City-Florida,"(30.3321838, -81.65565099999999)"
Jamestown City-North Dakota,"(46.9105438, -98.7084357)"
Janesville City-Wisconsin,"(42.6827885, -89.0187222)"
Jasper Co (Jasper) ISD,"(30.8890922, -94.03506139999999)"
Jefferson Co (Dodds) SD #7,"(38.2480195, -88.8838834)"
Jefferson Co (Windsor) SD #C-1,"(39.377255, -105.8005988)"
Jefferson Co Ind Dev Auth,"(39.377255, -105.8005988)"
Jefferson Co Mt Vernon THSD201,"(39.715426, -105.2721456)"
Jefferson Co SD,"(42.6024951, -96.5591992)"
JeffersonCo(Northwest)SD#R-1,"(33.1091831, -82.3005513)"
Jersey City-New Jersey,"(40.72815749999999, -74.0776417)"
Jessamine County SD Fin Corp,"(37.895573, -84.56414699999999)"
Johnson City H&E Facilities Bd,"(36.3134397, -82.3534727)"
Johnson City Village-New York,"(42.1156308, -75.95880919999999)"
Johnson Co (Olathe) USD #233,"(38.9289187, -94.82979390000001)"
Joliet City-Illinois,"(41.525031, -88.0817251)"
Joliet Park District,"(41.521409, -88.1552785)"
Joliet Regional Port Dt,"(41.525031, -88.0817251)"
Jones Co SD,"(43.9715804, -100.7097867)"
"Jonesville Town, Lousiana","(31.6265595, -91.8181828)"
Joplin Industrial Dev Auth,"(37.08422710000001, -94.51328099999999)"
Josephine Co-Oregon,"(42.3447572, -123.4568737)"
Juneau Co-Wisconsin,"(43.8672979, -90.0746767)"
Kalamazoo,"(42.2917069, -85.5872286)"
Kane Cook DuPage Co SD # 46,"(42.0051354, -88.22664340000001)"
Kankakee City-Illinois,"(41.1200325, -87.8611531)"
Kankakee Co (Bradley) SD #61,"(41.1483597, -87.85409960000001)"
Kankakee SD #111,"(41.3378844, -87.3462677)"
Kansas City Industrial Dvlp,"(27.500064, -99.40477949999999)"
Kansas City-Missouri,"(39.0997265, -94.5785667)"
Kansas Dvlp Finance Authority,"(39.011902, -98.4842465)"
Kaufman Co (Forney) ISD,"(32.7439271, -96.4770345)"
Kaukauna City-Wisconsin,"(44.2780432, -88.27205029999999)"
Kennesaw Urban Redev Agency,"(34.0234337, -84.6154897)"
Kenosha City-Wisconsin,"(42.5847425, -87.82118539999999)"
Kenosha Co-Wisconsin,"(42.5847425, -87.82118539999999)"
Kent City-Washington,"(47.3809335, -122.2348431)"
Kent Co-Michigan,"(43.0097027, -85.52002399999999)"
Kentucky Housing Corporation,"(37.24954, -83.1932284)"
Kentucky Pub Trans Infras Auth,"(37.8393332, -84.2700179)"
Kentucky State Property & Bldg,"(37.8393332, -84.2700179)"
Kerr Co (Kerrville) ISD,"(30.0193704, -99.112359)"
Kewaunee Co-Wisconsin,"(44.5202599, -87.38107269999999)"
"Kiel,Wisconsin","(43.912493, -88.0356515)"
Killeen City-Texas,"(31.1171194, -97.72779589999999)"
"Kimberly Village,Wisconsin","(44.2722093, -88.3389952)"
King Co (Issaquah) SD #411,"(47.581255, -122.0331578)"
King Co (Tukwila) SD #406,"(47.4679953, -122.2767723)"
King Co-Washington,"(47.5480339, -121.9836029)"
Kitsap County Public Utility,"(47.6476607, -122.6412583)"
Kittitas Co (Easton) SD #28,"(47.236376, -121.177161)"
Kleberg Co (Kingsville) ISD,"(27.5144775, -97.8490667)"
Knox City-Indiana,"(41.2958751, -86.6250139)"
Knox Co-Tennessee,"(35.9874629, -83.9419784)"
"Knox County,Illinois","(40.8776411, -90.2244662)"
Kokomo-CenterSchoolsBldgCorp,"(40.486427, -86.13360329999999)"
Kronenwetter Village-Wisconsin,"(44.8221909, -89.5903989)"
Kutztown Pennsylvania,"(40.5173165, -75.7774177)"
"La Crosse, La Crosse City-Wisc","(43.8013556, -91.23958069999999)"
La Mirada Redev Agency,"(33.9172357, -118.0120086)"
La Paz Co Industrial Dev Auth,"(-16.489689, -68.11929359999999)"
La Salle Co (Ottawa) SD #141,"(40.3488703, -104.7019102)"
La Salle Co SD #150,"(40.3488703, -104.7019102)"
La Salle Co-Illinois,"(41.3621503, -89.0418249)"
Lacey Muni Utilities Authority,"(39.8382055, -74.1927537)"
Lake Co (Lake Superior)ISD#381,"(29.9658261, -95.1602563)"
Lake Co (Warren) THSD #121,"(42.352094, -87.890962)"
Lake Co-Indiana,"(41.4897279, -87.30161319999999)"
Lake Hallie Village-Wisconsin,"(44.8757937, -91.44071459999999)"
Lake Mills City-Wisconsin,"(43.0813888, -88.91177420000001)"
"Lake Success,New York","(40.7706572, -73.7176312)"
LakeCo(Highland Park)THSD #113,"(42.18528500000001, -87.78801)"
Lakeland High School Bldg Corp,"(28.0394654, -81.9498042)"
Lakewood Twp-New Jersey,"(40.08212899999999, -74.2097014)"
Lancaster City-Ohio,"(39.7136754, -82.5993294)"
Lancaster Co Redev Auth,"(40.0378755, -76.3055144)"
Lancaster Co-Pennsylvania,"(40.0466571, -76.17837390000001)"
Lancaster Ed Assist Prog Inc,"(40.0378755, -76.3055144)"
Lancaster Redevelopment Agency,"(53.6077759, -2.1474619)"
Lancaster Town-Massachusetts,"(42.4556452, -71.6731242)"
Lancaster Town-New York,"(42.9006144, -78.6703062)"
LancasterCo(PequeaValley)SD,"(40.0228615, -76.0599371)"
Lane Co (Creswell) SD #40,"(43.9176389, -123.0201275)"
Lansing Building Authority,"(42.7329124, -84.5579041)"
Lansing City-Kansas,"(39.2486126, -94.90024129999999)"
Lansing City-Michigan,"(42.732535, -84.5555347)"
Laredo Texas,"(27.5305671, -99.48032409999999)"
Latah Co (Moscow) SD #281,"(46.7368324, -116.9721088)"
Lauderdale County Mississippi,"(32.4401578, -88.7108964)"
Laurens Co-Georgia,"(32.433014, -82.99316069999999)"
Lavaca-Navidad River Authority,"(28.9138645, -96.5894847)"
"Le Sueur,Minnesota","(44.4598517, -93.9113634)"
"Leavenworth,Kansas","(39.3111112, -94.9224637)"
Lee Co Industrial Dev Auth,"(32.8859843, -84.3246853)"
Lee Co SD,"(44.01030189999999, -97.11116849999999)"
Lehigh Co (Allentown) SD,"(40.6037081, -75.47366670000001)"
Lemont Village-Illinois,"(41.673642, -88.0017261)"
Leslie Public Schools,"(42.4574945, -84.4358481)"
Licking Heights Ohio Local SD,"(39.9586267, -82.0415326)"
Lincoln Airport Authority,"(45.8742342, -66.5290833)"
Lincoln Co (Ivanhoe) SD #403,"(39.0457549, -103.3587288)"
Lincoln Co (Limon) SD #RE-4J,"(39.2693613, -103.6884144)"
Lincoln Co (Silex) SD #R-I,"(39.1068506, -91.17369939999999)"
Lincoln-Alabama,"(33.6131588, -86.1183061)"
Lino Lakes City-Minnesota,"(45.1602442, -93.0888324)"
Little Rock City-Arkansas,"(34.7464809, -92.28959479999999)"
LittleEggHarborTwp-NewJersey,"(39.6108492, -74.35726460000001)"
Liverpool Central School Dist,"(43.1358799, -76.2131474)"
Livingston Co-Michigan,"(42.6207951, -83.8473015)"
Logan Co-Illinois,"(40.061338, -89.3226954)"
Logan Co-Ohio,"(40.38996789999999, -83.8473015)"
Longmont City-Colorado,"(40.1672068, -105.1019275)"
Longview City-Washington,"(46.1381676, -122.9381672)"
Longview Cultural Ed Fac Fin,"(32.5007037, -94.74048909999999)"
Lorain Co (Avon Lake City) SD,"(41.4929278, -82.00801400000002)"
Lorain Co (Avon) LSD,"(41.452819, -82.1823746)"
Lorain Co Port Authority,"(41.452819, -82.1823746)"
Lorain Co-Ohio,"(41.4116881, -82.12783999999999)"
Los Angeles Co (Lancaster) SD,"(34.6719989, -118.1135101)"
Los Angeles Co (Lynwood) USD,"(33.9261642, -118.2005269)"
Los Angeles Co (Pasadena) USD,"(34.1255065, -118.1456081)"
Los Angeles Co Redev Ref Auth,"(34.0522342, -118.2436849)"
Los Angeles USD,"(34.0322053, -118.3897273)"
LosAngeles(ManhattanBeach)USD,"(33.8767236, -118.3884324)"
Loudoun Co-Virginia,"(39.076767, -77.6536125)"
Louisiana,"(30.9842977, -91.96233269999999)"
Louisiana Gov Env & Comm Dev,"(30.9842977, -91.96233269999999)"
Louisiana Housing Corp (LHC),"(30.9842977, -91.96233269999999)"
Louisiana Stadium & Expos DT,"(30.9842977, -91.96233269999999)"
Louisville-JeffersonRegAirport,"(38.175662, -85.7369231)"
Loveland City School District,"(39.2520145, -84.25948609999999)"
Lower Allen Twp-Pennsylvania,"(40.2112939, -76.9354979)"
Lower Salford Twp-Pennsylvania,"(40.2605317, -75.3995089)"
Lubbock City-Texas,"(33.5778631, -101.8551665)"
Lubbock ISD,"(33.577888, -101.85467)"
Lucas Co-Ohio,"(41.6894388, -83.3789389)"
Luzerne Co (Pittston) ASD,"(41.2856365, -75.9010304)"
Lynbrook Village-New York,"(40.6548253, -73.67179689999999)"
Lynn City-Massachusetts,"(42.46676300000001, -70.9494938)"
Macomb Co-Michigan,"(42.7168759, -82.82097399999999)"
Macon (Argenta-Oreana) CUSD #1,"(32.8406946, -83.6324022)"
Macon Co (Decatur) PSD #61,"(32.8406946, -83.6324022)"
Macon Co (Mount Zion) CUSD #3,"(32.8406946, -83.6324022)"
Macon-Bibb Co Urban Dev Auth,"(32.8406946, -83.6324022)"
Macoupin Co(Carlinville)CUSD #,"(39.2375268, -89.9253233)"
Madison City-Georgia,"(33.5956813, -83.467944)"
Madison City-South Dakota,"(44.0060847, -97.1139496)"
Madison City-Wisconsin,"(43.0730517, -89.4012302)"
Madison Co (Alton) CUSD #11,"(43.0730517, -89.4012302)"
Madison Co (Edwardsville) CUSD,"(43.0730517, -89.4012302)"
Madison Co (Granite) CUSD #9,"(43.0730517, -89.4012302)"
Madison Co (Highland) CUSD #5,"(43.0730517, -89.4012302)"
Madison Co (Roxana) CUSD #1,"(43.0730517, -89.4012302)"
Madison Co-Mississippi,"(32.6729459, -90.0373201)"
Madison Co-Tennessee,"(35.6479574, -88.86469799999999)"
Maine,"(45.253783, -69.4454689)"
Maine Hlth & Hghr Ed Facs Auth,"(45.253783, -69.4454689)"
Maine Municipal Bond Bank,"(45.253783, -69.4454689)"
Malden City-Massachusetts,"(42.4250964, -71.066163)"
Manchester City-Georgia,"(32.8598538, -84.6199251)"
Manchester Town-Connecticut,"(41.7759301, -72.52150089999999)"
Manhattan City-Kansas,"(39.18360819999999, -96.57166939999999)"
Manitowoc Co (Two Rivers) PSD,"(44.0886059, -87.657584)"
"Mankato,Minnesota","(44.1635775, -93.99939959999999)"
Manning-Iowa,"(41.9091382, -95.0651328)"
Mansfield City-Texas,"(32.5631924, -97.1416768)"
Maple Grove City-Minnesota,"(45.0724642, -93.4557877)"
Maplewood City-Missouri,"(38.61255209999999, -90.3245599)"
Maplewood-Richmond Heights SD,"(38.6141791, -90.3243014)"
Marceline R-V School District,"(39.677195, -92.91759549999999)"
Marinette SD,"(45.9929674, -87.455612)"
Marion City-Iowa,"(42.033279, -91.5968958)"
Marion Co (Mt Angel) SD #91,"(45.07177859999999, -122.7896059)"
Marion Co (Wayne Twp) MSD,"(39.749719, -86.270425)"
Maryland,"(39.0457549, -76.64127119999999)"
Maryland Community Development,"(39.5383939, -76.32998599999999)"
Maryland Eco Dev Corp (MEDCO),"(39.0457549, -76.64127119999999)"
Maryland Health and Higher Ed,"(36.3008574, -119.7693953)"
Maryland Stadium Authority,"(39.2840248, -76.6203311)"
"Mason City, Iowa","(43.1535728, -93.20103669999999)"
Mason Co (Grapeview) SD #54,"(47.3200581, -122.9162649)"
Mason Co-Washington,"(47.4251146, -123.1951376)"
Massachusetts,"(42.4072107, -71.3824374)"
Massachusetts Dev Fin Agency,"(42.4072107, -71.3824374)"
Massachusetts Housing Fin Agcy,"(42.4072107, -71.3824374)"
McCracken Co-Kentucky,"(37.03306070000001, -88.7108964)"
McDonald Co (Anderson) SD #R-1,"(38.0163839, -84.985191)"
McFarland SD,"(44.0225378, -98.110993)"
McHenry Co (Johnsburg) CUSD #1,"(42.333355, -88.2667534)"
McHenryCo(CrystalLake)CHSD#155,"(42.243481, -88.3044908)"
McHenryCo(Woodstock)CUSD#200,"(42.2915781, -88.3921069)"
McKinney City-Texas,"(33.1972465, -96.6397822)"
McKinney Comm Dev Corp,"(33.1972465, -96.6397822)"
McLean Co (Lexington) CUSD #7,"(38.9338676, -77.1772604)"
McLean Co (Normal) CUSD #5,"(38.9338676, -77.1772604)"
McLean Co (Olympia) CUSD #16,"(38.9338676, -77.1772604)"
McLennan Co (McGregor) ISD,"(31.4387972, -97.4072157)"
Meadville City-Pennsylvania,"(41.6414438, -80.15144839999999)"
Mecklenburg Co-North Carolina,"(35.2632655, -80.8543847)"
Medina City-Ohio,"(41.143245, -81.8552196)"
Memphis Center Revenue Finance,"(35.1495343, -90.0489801)"
Memphis Hlth Ed & Hsg Facs Bd,"(35.1495343, -90.0489801)"
"Menomonee Falls, Wisconsin","(43.1788967, -88.1173132)"
Mequon City-Wisconsin,"(43.2159232, -88.0314174)"
Merced Irrigation Dt,"(37.3021632, -120.4829677)"
Mercer Co (Hamilton) Twp BOE,"(40.23089299999999, -74.6718849)"
Merchantville Boro-New Jersey,"(39.9050605, -75.0793384)"
Meriden-Connecticut,"(41.5381535, -72.80704349999999)"
Metro City-Oregon,"(-26.0162929, 27.932529)"
Miami Co (Paola) USD #368,"(25.7616798, -80.1917902)"
Miami Twp-Ohio,"(39.6128751, -84.2489525)"
Miami-Dade Co Ed Facs Auth,"(25.5516034, -80.6326916)"
Miami-Dade Co Indus Dev Auth,"(25.5516034, -80.6326916)"
Michigan,"(44.3148443, -85.60236429999999)"
Michigan City School Bldg Corp,"(41.70753939999999, -86.8950297)"
Michigan State Building Auth,"(42.7329124, -84.5579041)"
Michigan Strategic Fund,"(44.3148443, -85.60236429999999)"
Middlesex Co-New Jersey,"(40.572603, -74.4926541)"
Middlesex County Improvement,"(40.34452760000001, -74.48135359999999)"
Middlesex(Acton-Boxborough)RSD,"(42.4850931, -71.43284)"
"Middleton,Wisconsin","(43.09721740000001, -89.5042876)"
Middletown City-Ohio,"(39.5150576, -84.39827629999999)"
Middletown Town-Rhode Island,"(41.5218243, -71.2834538)"
Midlothian Comm Dev Corp,"(55.8292247, -3.1338428)"
Milaca ISD #912,"(45.755799, -93.6544079)"
Milton Town-Massachusetts,"(42.2495321, -71.0661653)"
Milwaukee City-Wisconsin,"(43.0389025, -87.9064736)"
Milwaukee Co (Brown Deer) SD,"(43.0389025, -87.9064736)"
Milwaukee Co (Greendale) SD,"(43.0389025, -87.9064736)"
Milwaukee Co (So Milwaukee) SD,"(42.9564205, -87.9863307)"
Milwaukee Co-Wisconsin,"(43.03879490000001, -87.9065334)"
Milwaukee Housing Authority,"(43.0363131, -87.9555022)"
Milwaukee Redevelopment Auth,"(43.04132999999999, -87.9085029)"
Milwaulkee Co (Greenfield) SD,"(42.9564205, -87.9863307)"
Minidoka Co JSD #331,"(42.7537967, -113.4902829)"
Minneapolis City-Minnesota,"(44.977753, -93.2650108)"
Minnesota,"(46.729553, -94.6858998)"
Minnesota Housing Finance Agen,"(44.94997, -93.088774)"
Minnesota Office of Higher Ed,"(52.1340532, -106.6890305)"
Minnetrista City-Minnesota,"(44.938296, -93.7177406)"
Mississippi,"(32.3546679, -89.3985283)"
Mississippi Business Fin Corp,"(32.3546679, -89.3985283)"
Mississippi Home Corp,"(34.6561039, -88.5664451)"
Missouri Health & Ed Facs,"(37.9642529, -91.8318334)"
Missouri Housing Development,"(39.06459359999999, -94.5899177)"
Mitchell Co-Iowa,"(43.37107020000001, -92.8577105)"
"Mobile County,Alabama","(30.6082227, -88.24611829999999)"
"Moline,Illinois","(41.5067003, -90.51513419999999)"
Monmouth Co (Marlboro) TSD BOE,"(51.8116533, -2.7163045)"
"Monona,Wisconsin Series 1994","(43.0622189, -89.3340068)"
Monroe Co (Pocono Mountain) SD,"(41.1017333, -75.3241968)"
"Monroe Co, Michigan","(41.9738893, -83.5070203)"
Monroe Co-New York,"(43.2841246, -77.7452081)"
Monroe Town-Connecticut,"(41.3325962, -73.2073358)"
Monroe-Washington,"(47.8553772, -121.9709579)"
Monrovia Redevelopment Agency,"(6.2907432, -10.7605239)"
Montana,"(46.8796822, -110.3625658)"
Montana Dept of Natl Resources,"(46.85868, -114.045553)"
Montclair Twp-New Jersey,"(40.8259007, -74.2090053)"
Montebello Public Fin Auth,"(45.6519493, -74.9408715)"
Montgomery City-Alabama,"(32.3668052, -86.2999689)"
Montgomery Co Revenue Auth,"(39.341555, -77.1925399)"
Montgomery Co-Maryland,"(39.1547426, -77.2405153)"
Montgomery Co-Ohio,"(39.7620028, -84.3542049)"
"Montgomery County, Tennessee","(36.4960406, -87.460397)"
Montgomery Village-Illinois,"(41.730585, -88.3459048)"
Morgan Co-Alabama,"(34.4240875, -86.86218269999999)"
Morgan Hill Redev Success Agcy,"(37.1305012, -121.6543901)"
Mound City-Minnesota,"(44.9366295, -93.66607189999999)"
Mount Holly New Jersey,"(39.9931438, -74.78793929999999)"
Mount Horeb Village-Wisconsin,"(43.008608, -89.7384562)"
Mount Prospect Park Dt,"(53.3682478, -6.189103999999999)"
Mount Vernon City-New York,"(40.9125992, -73.8370786)"
Mountain Lake-Minnesota,"(43.938846, -94.9297089)"
Mountain View-Los Altos UHSD,"(37.3601288, -122.0637176)"
Mukwonago-Wisconsin,"(42.8666803, -88.33342739999999)"
Muscle Shoals City-Alabama,"(34.7448112, -87.66752919999999)"
Muskegon Co-Michigan,"(43.294941, -86.1261056)"
Myrtle Beach - South Carolina,"(33.6890603, -78.8866943)"
N Orange Cnty Cmnty College,"(33.8499799, -117.9455048)"
NYC Housing Dev Corp,"(40.7088535, -74.0066999)"
NYC Transitional Finance Auth,"(40.7127837, -74.0059413)"
NYS Dorm Authority,"(40.7510503, -73.99214649999999)"
Napa Co (St Helena) USD,"(38.4975184, -122.4617771)"
Napa Comm Redev Succesor Agy,"(38.2975381, -122.286865)"
Nashville-Davidson Metro Govt,"(36.1718627, -86.7806417)"
Nassau Co (Freeport) UFSD,"(40.64272, -73.582742)"
Nassau Co (Hempstead) UFSD,"(40.7096809, -73.6257784)"
Nassau Co (Roosevelt) UFSD,"(40.6817775, -73.5908451)"
Nassau Co Interim Finance Auth,"(40.7396545, -73.6374215)"
Nassau Co Swr&Storm Wtr Fin Au,"(25.0479835, -77.355413)"
Nassau Co-New York,"(40.7127837, -74.0059413)"
"Naugatuck,Connecticut","(41.485921, -73.0506972)"
Nebraska Utility Corp,"(41.4925374, -99.9018131)"
"Neenah,Wisconsin","(44.1858193, -88.462609)"
Neosho City-Missouri,"(36.8689554, -94.36799599999999)"
Nevada,"(38.8026097, -116.419389)"
Nevada System of Higher Ed,"(39.5512441, -119.8122706)"
New Albany City-Ohio,"(40.0811745, -82.8087864)"
New Albany-Floyd Sch Bldg Corp,"(38.2856247, -85.8241312)"
New Bedford City-Massachusetts,"(41.6362152, -70.93420499999999)"
New Castle City-Pennsylvania,"(41.0036719, -80.34700900000001)"
New Castle County Delaware,"(39.5392979, -75.667356)"
New Hampshire,"(43.1938516, -71.5723953)"
New Hampshire Higher Education,"(43.2393339, -70.8791701)"
New Hampshire Housing Fin Auth,"(43.1938516, -71.5723953)"
New Hanover Co-North Carolina,"(34.2154913, -77.88245959999999)"
New Hope Cult Ed Facs Fin Corp,"(40.36427279999999, -74.9512785)"
New Jersey Building Authority,"(40.5336345, -74.2977502)"
New Jersey Economic Dev Auth,"(39.3955432, -75.0387184)"
New Jersey Housing and Mtg Fin,"(40.0583238, -74.4056612)"
New Jersey Transit Corporation,"(40.2941509, -73.98887479999999)"
New London-Connecticut,"(41.3556539, -72.0995209)"
New Mexico Finance Auth (NMFA),"(34.5199402, -105.8700901)"
New Mexico Military Institute,"(33.4088393, -104.5227894)"
New Mexico Mtg Finance Auth,"(34.5199402, -105.8700901)"
New Orleans City-Louisiana,"(29.95106579999999, -90.0715323)"
New Orleans Finance Auth,"(29.9653941, -90.18938759999999)"
New Rochelle City-New York,"(40.9114882, -73.7823549)"
New South Wales Treasury,"(-33.863859, 151.211202)"
New York,"(40.7127837, -74.0059413)"
New York City-New York,"(40.7127837, -74.0059413)"
Newark City-New Jersey,"(40.735657, -74.1723667)"
Newburgh City-New York,"(41.5034271, -74.0104178)"
Newport News City-Virginia,"(37.0870821, -76.4730122)"
Newport News Eco Dev Auth,"(37.0870821, -76.4730122)"
"Newport,Kentucky","(39.091449, -84.4957757)"
Nisswa City-Minnesota,"(46.5205224, -94.2886089)"
Normandy Park-Washington,"(47.4362103, -122.3406799)"
North Adams Community Schools,"(40.8672374, -84.9193082)"
North Bergen TSD BOE,"(40.8042674, -74.012084)"
North Carolina Housing Fin Agy,"(35.7595731, -79.01929969999999)"
North Carolina State Education,"(34.3240933, -77.8761347)"
North Dakota Public Fin Auth,"(47.5514926, -101.0020119)"
North Little Rock-Arkansas,"(34.769536, -92.2670941)"
